"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";
"1";"100";"R-EU_R0603";"R0603";"R3";"RESISTOR, European symbol";"";"";"";"";"";
"22";"100nF";"C-EUC0603";"C0603";"C1, C6, C9, C10, C11, C13, C14, C15, C16, C17, C18, C20, C21, C22, C24, C25, C27, C29, C31, C33, C35, C37";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"10100660686";"USD-SOCKETNEW";"MICRO-SD-SOCKET-PP";"U3";"microSD Socket";"";"";"";"";"";
"3";"10k";"R-EU_R0603";"R0603";"R1, R2, R5";"RESISTOR, European symbol";"";"";"";"";"";
"7";"10uF";"C-EUC0603";"C0603";"C19, C23, C26, C32, C34, C36, C38";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"1k";"R-EU_R0603";"R0603";"R8";"RESISTOR, European symbol";"";"";"";"";"";
"1";"1uF";"C-EUC0603";"C0603";"C30";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"2.2nF";"C-EUC0603";"C0603";"C28";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"220";"R-EU_R0603";"R0603";"R4";"RESISTOR, European symbol";"";"";"";"";"";
"3";"220uF";"CPOL-EUUD6,3-5,8";"UD-6,3X5,8_NICHICON";"C7, C8, C12";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";
"1";"2k2";"R-EU_R0603";"R0603";"R11";"RESISTOR, European symbol";"";"";"";"";"";
"4";"30k";"R-EU_R0603";"R0603";"R7, R12, R13, R15";"RESISTOR, European symbol";"";"";"";"";"";
"3";"31-5431-10RFX";"BNCPTH";"BNC";"J1, J2, J3";"BNC Connector, Mouser Part# 5227161";"";"";"";"";"";
"2";"47uF";"CPOL-EUSMC_B";"SMC_B";"C2, C3";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";
"2";"47uF";"CPOL-EUUD6,3-5,8";"UD-6,3X5,8_NICHICON";"C4, C5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";
"1";"4M7";"R-EU_R0603";"R0603";"R6";"RESISTOR, European symbol";"";"";"";"";"";
"1";"5k";"RTRIM329W";"RTRIM3296W";"R10";"Trimm resistor";"";"";"";"";"";
"3";"74HC4053D";"4053D";"SO16";"IC6, IC7, IC8";"Triple 2-channel ANALOG MULTIPLEXER";"";"";"";"";"";
"2";"75k";"R-EU_R0603";"R0603";"R9, R14";"RESISTOR, European symbol";"";"";"";"";"";
"4";"89400-0420";"M04JST-PTH-VERT";"JST-4-PTH-VERT";"JP1, JP2, JP3, JP4";"Header 4";"";"";"";"";"";
"1";"ADAFRUIT FONA";"ADAFRUIT_FONA";"ADAFRUIT_FONA";"IC1";"";"";"";"";"";"";
"1";"ALS-PT19";"LIGHTSENSORALS";"ALS-PT19";"U4";"Ambient Light Sensor";"";"";"";"";"IC-11836";
"1";"ARDUINO-MEGAPRO";"ARDUINO-MEGAPRO";"ARDUINO_MEGA_2560";"U1";"Arduino Mega board footprint";"";"";"";"";"";
"1";"CA3140AM Z";"AMPOP";"SO8";"IC12";"High Performance Video Op Amp";"ALTERA CORPORATION";"AD811JRZ";"9426485";"82H2980";"";
"1";"CD4050BD";"4050D";"SO16";"IC5";"Hex non-inverting BUFFER";"";"";"";"";"";
"1";"HEF4051BT";"4051D";"SO16";"IC3";"8-channel ANALOG MULTIPLEXER";"";"";"";"";"";
"6";"INFO-AMAZONIA-MODULE";"INFO-AMAZONIA-MODULE";"INFO-AMAZONIA-MODULE";"MD1, MD2, MD3, MD4, MD5, MD6";"";"";"";"";"";"";
"1";"LM2662";"LM2662";"SO8";"IC2";"";"";"";"";"";"";
"1";"MIC29302AWD";"MIC29XXX";"TO252-5";"IC4";"";"";"";"";"";"";
"1";"MPL3115A2";"MPL3115A2LGA8";"LGA8";"U2";"Altimeter/Pressure Sensor, I2C, 1.95V-3.6V supply, 50 to 110kPa";"";"";"";"";"IC-10869";
"1";"NE555";"NE555";"SO8";"IC11";"General purpose bipolar Timer";"";"";"";"";"";
"1";"SHT20";"SHT2X";"SHT2X";"IC9";"";"";"";"";"";"";
"1";"TL032C";"AMPOP_2R";"SO8";"IC10";"Dual Precision, Low Cost, High Speed BiFET Op Amp";"ALTERA CORPORATION";"AD712KRZ";"1263975";"59K4556";"";
"1";"TL081BCDG4";"AMPOP";"SO8";"IC13";"High Performance Video Op Amp";"ALTERA CORPORATION";"AD811JRZ";"9426485";"82H2980";"";
